epoch,loss_avg,loss_test,acc_test,best_acc
178.0,1.481693128824234,1.4863290149688722,97.45,97.51
179.0,1.4823550539016725,1.4865218296051026,97.46,97.51
180.0,1.4822368525664011,1.4865309070587158,97.45,97.51
181.0,1.4836224992672606,1.486524635696411,97.45,97.51
182.0,1.48149613070488,1.4858103015899657,97.55,97.55
183.0,1.4811301060517632,1.486376707839966,97.44,97.55
184.0,1.480053882797559,1.4860688648223876,97.52,97.55
185.0,1.4809272799889246,1.485644626235962,97.57,97.57
186.0,1.4832545198202134,1.4858244083404542,97.54,97.57
187.0,1.4802961443265277,1.4860661487579345,97.52,97.57
188.0,1.479141389250755,1.4859887073516846,97.51,97.57
189.0,1.479037050406138,1.4859072803497315,97.55,97.57
190.0,1.4784610832532246,1.4857169681549072,97.57,97.57
191.0,1.4788291691939037,1.4858866260528565,97.53,97.57
192.0,1.4805592339038844,1.485810901260376,97.55,97.57
193.0,1.476664945165316,1.485846966934204,97.51,97.57
194.0,1.4788156760931017,1.4856774494171143,97.57,97.57
195.0,1.4776687273581823,1.4856295948028564,97.56,97.57
196.0,1.4777850235303243,1.4855332569122315,97.55,97.57
197.0,1.4780794036388398,1.4856549488067627,97.58,97.58
198.0,1.4787504655917485,1.4858261936187744,97.51,97.58
199.0,1.477513018608093,1.4854996692657472,97.56,97.58
200.0,1.4766891531546906,1.4858427799224854,97.51,97.58
201.0,1.4778087835709255,1.485811647415161,97.52,97.58
202.0,1.4797948999404904,1.4858209491729737,97.54,97.58
203.0,1.4830299543937047,1.4856900806427003,97.58,97.58
204.0,1.4815416818857192,1.485241370010376,97.63,97.63
205.0,1.4777315151691435,1.48529026222229,97.55,97.63
206.0,1.4814921557505927,1.4854423084259034,97.53,97.63
207.0,1.4783853137890497,1.485496268081665,97.55,97.63
208.0,1.4757509138981502,1.4853684726715088,97.54,97.63
209.0,1.4779472531874973,1.4853497394561768,97.56,97.63
210.0,1.479968730489413,1.4852021228790284,97.58,97.63
211.0,1.4771808046499888,1.485160802078247,97.58,97.63
212.0,1.4757742980321245,1.4851677829742431,97.58,97.63
213.0,1.4789083009958268,1.4851704105377197,97.57,97.63
214.0,1.478109444538753,1.4850786960601807,97.62,97.63
215.0,1.4784475958347318,1.485082905960083,97.63,97.63
216.0,1.4757207300662998,1.485129552078247,97.6,97.63
217.0,1.476162599484125,1.485127779006958,97.61,97.63
218.0,1.476432546456655,1.4849928455352783,97.6,97.63
219.0,1.4767993046442662,1.484872912979126,97.62,97.63
220.0,1.47902789068222,1.4848863117218019,97.6,97.63
221.0,1.47575842265288,1.484958214187622,97.61,97.63
222.0,1.4765891483624778,1.4849736988067628,97.6,97.63
223.0,1.4745887291828792,1.4848700199127198,97.64,97.64
224.0,1.4782147840658824,1.48494260597229,97.6,97.64
225.0,1.476145775516828,1.484802141189575,97.63,97.64
226.0,1.4766264679034546,1.4848632999420166,97.63,97.64
227.0,1.476512981732686,1.4848012470245362,97.58,97.64
228.0,1.4754652657508853,1.4848384418487548,97.63,97.64
229.0,1.4757888954480485,1.4848220584869385,97.65,97.65
230.0,1.4783605797290804,1.4850101306915284,97.64,97.65
231.0,1.475629502256711,1.4849504489898682,97.59,97.65
232.0,1.4755321070750558,1.4850153659820557,97.65,97.65
233.0,1.4779876346588134,1.4848968936920166,97.61,97.65
234.0,1.4750927828947704,1.4848756031036376,97.62,97.65
235.0,1.4745133482217794,1.484672439956665,97.64,97.65
236.0,1.4743783240715664,1.4846293506622315,97.63,97.65
237.0,1.4748397542635596,1.4847963230133057,97.6,97.65
238.0,1.4755799249410626,1.4847382144927979,97.62,97.65
239.0,1.4776636992692949,1.4847822788238525,97.62,97.65
240.0,1.4752174750169116,1.4849017414093018,97.6,97.65
241.0,1.4761108610232674,1.4848378330230714,97.61,97.65
242.0,1.475511747558912,1.484791402053833,97.62,97.65
243.0,1.4738006243705752,1.4848345203399658,97.61,97.65
244.0,1.4745419416427616,1.484794835281372,97.65,97.65
245.0,1.4748802818059923,1.4846586643218995,97.65,97.65
246.0,1.4754869405825934,1.4847809757232666,97.64,97.65
247.0,1.4755439523061116,1.4849425601959227,97.61,97.65
248.0,1.4754773951371514,1.4849090015411377,97.61,97.65
249.0,1.4756516027053197,1.4849229633331298,97.6,97.65
250.0,1.4746684081951775,1.4848791416168212,97.59,97.65
251.0,1.4762213077942528,1.4848919956207276,97.59,97.65
252.0,1.4758857040405275,1.485045097732544,97.57,97.65
253.0,1.47440658946832,1.484923300552368,97.58,97.65
254.0,1.4768090290625886,1.4848112537384033,97.61,97.65
255.0,1.4756539611816404,1.4846551792144775,97.67,97.67
256.0,1.4741161747773486,1.484555057144165,97.67,97.67
257.0,1.475325157006582,1.484498512649536,97.69,97.69
258.0,1.4747607201337818,1.4845326358795166,97.67,97.69
259.0,1.4736814263264337,1.484573534011841,97.66,97.69
260.0,1.4745202658176422,1.484563293838501,97.65,97.69
261.0,1.4738820025523507,1.4845390705108643,97.61,97.69
262.0,1.4741923289299015,1.4845517749786377,97.69,97.69
263.0,1.474327435016632,1.484541600418091,97.64,97.69
264.0,1.474392663439115,1.4845192569732666,97.67,97.69
265.0,1.4755016531546905,1.484556279373169,97.67,97.69
266.0,1.47503161295255,1.4845494068145753,97.68,97.69
267.0,1.4750718419551847,1.4847006839752197,97.65,97.69
268.0,1.4746758604049686,1.4846192630767823,97.66,97.69
269.0,1.4770832752784095,1.4844898181915283,97.71,97.71
270.0,1.4739893363316852,1.48446653175354,97.68,97.71
271.0,1.4749496853351594,1.4842761112213134,97.66,97.71
272.0,1.4750482641855873,1.484586046218872,97.63,97.71
273.0,1.475109866499901,1.4846838672637939,97.65,97.71
274.0,1.4748596188624694,1.4846017902374267,97.64,97.71
275.0,1.474606787323952,1.4846184375762939,97.63,97.71
276.0,1.4750877447923019,1.4846657535552978,97.62,97.71
277.0,1.474106742699941,1.4847516147613526,97.64,97.71
278.0,1.4735104751586916,1.484736601638794,97.62,97.71
279.0,1.4749744143883392,1.484890295791626,97.55,97.71
280.0,1.4744010419050861,1.4849170932769775,97.58,97.71
281.0,1.4742008569637932,1.4846978061676026,97.63,97.71
282.0,1.473483777403832,1.4846784000396729,97.64,97.71
283.0,1.4738366270065308,1.4846420764923096,97.65,97.71
284.0,1.474831305662791,1.4847255756378175,97.66,97.71
285.0,1.4739636124372482,1.484737823867798,97.64,97.71
286.0,1.4734145562251404,1.484930418777466,97.6,97.71
287.0,1.473998631238937,1.484791075515747,97.63,97.71
288.0,1.4734280157486594,1.4847297687530518,97.64,97.71
289.0,1.4736040289004646,1.4846975223541259,97.65,97.71
290.0,1.4748869516054786,1.4848169681549073,97.67,97.71
291.0,1.4743077824115753,1.4847834354400635,97.66,97.71
292.0,1.4736622361739473,1.4847715641021728,97.62,97.71
293.0,1.474901302138964,1.4849476154327392,97.59,97.71
294.0,1.4746366736888885,1.4850800662994386,97.56,97.71
295.0,1.4732023959159852,1.4851052814483643,97.57,97.71
296.0,1.4732933627367018,1.4849244388580323,97.61,97.71
297.0,1.4730112545887624,1.4848796253204346,97.6,97.71
298.0,1.4742133512894315,1.484813864517212,97.62,97.71
299.0,1.4731326540708543,1.484754863357544,97.61,97.71
300.0,1.4747163241704306,1.4846055561065674,97.67,97.71
301.0,1.4735260023276018,1.484653284072876,97.63,97.71
302.0,1.4738131806055703,1.4846406192779542,97.62,97.71
303.0,1.4745863621632258,1.4846344593048095,97.62,97.71
304.0,1.4733251653114954,1.4846584644317626,97.61,97.71
305.0,1.4740828947623574,1.4846522190093994,97.62,97.71
306.0,1.475703583796819,1.4846984882354737,97.59,97.71
307.0,1.4732034916480379,1.4846531147003175,97.6,97.71
308.0,1.472908183058103,1.4846364490509034,97.61,97.71
309.0,1.4737648547887798,1.4845919773101806,97.63,97.71
310.0,1.473606256842613,1.48461104927063,97.63,97.71
311.0,1.4735837887128194,1.4846296329498292,97.61,97.71
312.0,1.473858398397764,1.484708360671997,97.61,97.71
313.0,1.4742662590742115,1.4848176944732665,97.6,97.71
314.0,1.473576835910479,1.4847636478424073,97.63,97.71
315.0,1.4735874165296556,1.4846660526275635,97.64,97.71
316.0,1.4738937656084696,1.4847242420196534,97.59,97.71
317.0,1.4743006092309947,1.484660771560669,97.63,97.71
318.0,1.4734239409367245,1.4847182025909424,97.62,97.71
319.0,1.4736229496002196,1.484666417312622,97.62,97.71
320.0,1.4733941961924228,1.4846411350250244,97.62,97.71
321.0,1.4734730099042255,1.4846459217071533,97.62,97.71
322.0,1.4733358036279676,1.4846541568756104,97.62,97.71
323.0,1.4736491779883707,1.4846688251495361,97.64,97.71
324.0,1.4737274453639981,1.4846175922393798,97.65,97.71
325.0,1.4727085533142088,1.4845777240753173,97.65,97.71
326.0,1.4729067320823672,1.4845731433868408,97.64,97.71
327.0,1.4741634347041448,1.4846320072174073,97.63,97.71
328.0,1.472920229633649,1.4846298999786376,97.64,97.71
329.0,1.4732412609656649,1.4845991703033448,97.65,97.71
330.0,1.4750016563336052,1.484543695449829,97.65,97.71
331.0,1.4738191335598625,1.484595274734497,97.65,97.71
332.0,1.473468607266744,1.484555823135376,97.64,97.71
333.0,1.4727102624575297,1.4846061740875245,97.66,97.71
334.0,1.4730192286968231,1.4845352710723876,97.64,97.71
335.0,1.4730410537719727,1.484539950942993,97.65,97.71
336.0,1.4733691462675729,1.4845433826446532,97.64,97.71
337.0,1.4740589063962302,1.4845296649932862,97.65,97.71
338.0,1.4730921750863397,1.484521835708618,97.64,97.71
339.0,1.4727869854370754,1.4845519992828369,97.65,97.71
340.0,1.4736319694916407,1.4846690601348878,97.64,97.71
341.0,1.4735708681344986,1.4846547016143798,97.64,97.71
342.0,1.4743707336187362,1.4846449634552001,97.64,97.71
343.0,1.473469576557477,1.4846702381134034,97.64,97.71
344.0,1.4744905833005904,1.4847097080230713,97.61,97.71
345.0,1.474688495874405,1.4847386264801026,97.63,97.71
346.0,1.4734540246725079,1.4846744861602783,97.62,97.71
347.0,1.4726086881160732,1.4846106159210206,97.62,97.71
348.0,1.4738295735518139,1.4846951923370362,97.61,97.71
349.0,1.4735180862347281,1.4846224536895751,97.62,97.71
